timestamp_ms,label,sample_index,gpio2,gpio4,gpio12,gpio13,gpio14,gpio15
10163,none,0,62,65,72,59,75,65
10446,none,1,63,65,76,60,74,65
10466,none,2,64,65,73,59,73,65
10486,none,3,64,65,73,59,73,65
10506,none,4,64,65,72,59,71,65
10526,none,5,61,64,76,60,74,64
10546,none,6,61,64,77,59,75,64
10566,none,7,61,64,77,59,75,64
10586,none,8,64,66,77,60,76,66
10606,none,9,61,63,74,59,73,64
10626,none,10,61,64,76,60,75,64
10646,none,11,61,64,76,60,75,64
10666,none,12,61,64,77,60,76,65
10686,none,13,62,64,73,59,73,64
10706,none,14,61,64,77,60,75,64
10726,none,15,61,64,77,60,75,64
10746,none,16,61,64,76,60,75,64
10766,none,17,60,64,76,60,75,64
10786,none,18,61,64,72,59,72,64
10806,none,19,61,64,72,59,72,64
10826,none,20,61,64,77,60,75,64
10846,none,21,61,64,77,60,76,65
10866,none,22,61,64,77,60,75,64
10886,none,23,61,64,77,60,75,64
10906,none,24,63,65,77,60,76,65
10926,none,25,62,64,76,60,75,64
10946,none,26,61,64,77,60,75,65
10966,none,27,61,64,77,60,75,65
10986,none,28,64,65,75,60,74,65
11006,none,29,63,65,77,60,75,65
11026,none,30,61,64,76,60,75,65
11046,none,31,61,64,76,60,75,65
11066,none,32,61,64,76,60,75,64
11086,none,33,64,65,75,60,74,65
11106,none,34,64,65,72,59,72,65
11126,none,35,64,65,72,59,72,65
11146,none,36,64,65,76,60,75,65
11166,none,37,64,64,77,60,75,65
11186,none,38,61,64,76,60,75,65
11206,none,39,61,64,76,60,75,65
11226,none,40,62,64,76,60,74,65
11246,none,41,61,64,76,60,75,64
11266,none,42,63,65,77,60,75,65
11286,none,43,63,65,77,60,75,65
11306,none,44,60,63,76,59,75,63
11326,none,45,60,63,76,60,75,63
11346,none,46,62,63,76,60,74,65
11366,none,47,62,63,76,60,74,65
11386,none,48,60,63,75,59,74,64
11406,none,49,60,63,74,59,73,63
11426,none,50,60,63,75,60,73,64
11446,none,51,60,63,75,60,73,64
11466,none,52,60,63,74,59,72,64
11486,none,53,60,63,75,59,73,63
11506,none,54,60,63,76,60,74,63
11526,none,55,60,63,76,60,74,63
11546,none,56,60,63,75,59,73,63
11566,none,57,63,64,76,60,74,65
11586,none,58,63,65,73,59,72,65
11606,none,59,63,65,73,59,72,65
11626,none,60,62,64,76,60,74,65
11646,none,61,62,64,75,60,73,64
11666,none,62,63,65,75,60,73,64
11686,none,63,63,65,75,60,73,64
11706,none,64,60,63,74,59,72,63
11726,none,65,60,63,73,59,71,63
11746,none,66,63,64,73,59,71,65
11766,none,67,63,64,73,59,71,65
11786,none,68,62,64,76,60,73,64
11806,none,69,61,64,74,60,72,64
11826,none,70,60,63,73,59,71,63
11846,none,71,60,63,73,59,71,63
11866,none,72,60,63,75,59,73,63
11886,none,73,60,63,74,59,72,63
11906,none,74,59,63,75,59,73,63
11926,none,75,59,63,75,59,73,63
11946,none,76,60,63,75,59,74,63
11966,none,77,63,65,76,60,75,65
11986,none,78,64,65,74,59,73,66
12006,none,79,64,65,74,59,73,66
12026,none,80,63,65,77,60,76,64
12046,none,81,64,65,77,60,75,65
12066,none,82,61,64,77,60,76,65
12086,none,83,61,64,77,60,76,65
12106,none,84,62,64,76,59,74,65
12126,none,85,61,63,72,59,71,64
12146,none,86,61,64,77,59,76,64
12166,none,87,61,64,77,59,76,64
12186,none,88,61,64,77,59,76,64
