timestamp_ms,label,sample_index,gpio2,gpio4,gpio12,gpio13,gpio14,gpio15
140253,io13,0,61,64,79,60,79,64
140273,io13,1,63,65,79,60,80,65
140293,io13,2,63,65,79,60,80,65
140313,io13,3,62,64,78,60,79,64
140333,io13,4,61,64,77,60,77,64
140353,io13,5,62,65,75,60,76,64
140373,io13,6,62,65,75,60,76,64
140393,io13,7,61,64,74,60,75,62
140413,io13,8,61,65,76,60,77,63
140433,io13,9,61,64,77,60,78,62
140453,io13,10,61,64,77,60,78,62
140473,io13,11,61,65,76,60,76,63
140493,io13,12,63,65,74,60,75,64
140513,io13,13,61,64,79,60,80,63
140533,io13,14,61,64,79,60,80,63
140553,io13,15,61,64,74,60,75,62
140573,io13,16,61,64,74,60,75,62
140593,io13,17,61,64,80,60,80,64
140613,io13,18,61,64,80,60,80,64
140633,io13,19,61,64,76,60,77,63
140653,io13,20,64,65,77,60,77,65
140673,io13,21,63,65,77,60,78,64
140693,io13,22,63,65,77,60,78,64
140713,io13,23,65,65,72,59,72,65
140733,io13,24,64,64,76,59,77,65
140753,io13,25,62,65,78,59,79,64
140773,io13,26,62,65,78,59,79,64
140793,io13,27,64,64,78,58,79,65
140813,io13,28,65,65,72,58,73,66
140833,io13,29,65,65,74,58,74,65
140853,io13,30,65,65,74,58,74,65
140873,io13,31,63,65,74,57,76,65
140893,io13,32,61,64,75,57,75,64
140913,io13,33,65,65,76,56,78,66
140933,io13,34,65,65,76,56,78,66
140953,io13,35,62,65,79,26,80,65
140973,io13,36,65,65,76,22,77,66
140993,io13,37,63,65,79,22,79,65
141013,io13,38,63,65,79,22,79,65
141033,io13,39,66,65,78,21,79,66
141053,io13,40,65,66,77,21,77,66
141073,io13,41,65,65,81,21,81,66
141093,io13,42,65,65,81,21,81,66
141113,io13,43,65,66,78,21,79,65
141133,io13,44,66,66,79,21,79,66
141153,io13,45,64,66,80,21,80,65
141173,io13,46,64,66,80,21,80,65
141193,io13,47,66,66,79,21,80,66
141213,io13,48,64,64,82,21,82,65
141233,io13,49,66,66,77,21,77,66
141253,io13,50,66,66,77,21,77,66
141273,io13,51,66,66,77,21,78,66
141293,io13,52,65,65,79,21,80,66
141313,io13,53,64,66,76,21,77,65
141333,io13,54,64,66,76,21,77,65
141353,io13,55,64,65,79,21,80,66
141373,io13,56,65,66,75,21,76,66
141393,io13,57,63,66,80,21,80,65
141413,io13,58,63,66,80,21,80,65
141433,io13,59,65,65,79,21,80,66
141453,io13,60,63,66,78,21,79,65
141473,io13,61,65,66,78,21,78,66
141493,io13,62,65,66,78,21,78,66
141513,io13,63,64,65,75,21,75,65
141533,io13,64,65,65,81,21,82,66
141553,io13,65,66,66,77,21,77,67
141573,io13,66,66,66,77,21,77,67
141593,io13,67,66,65,81,21,82,66
141613,io13,68,65,66,82,21,83,66
141633,io13,69,64,65,78,21,79,65
141653,io13,70,64,65,78,21,79,65
141673,io13,71,66,66,77,21,77,67
141693,io13,72,62,65,81,21,81,64
141713,io13,73,66,66,79,21,80,66
141733,io13,74,66,66,79,21,80,66
141753,io13,75,66,66,77,21,78,67
141773,io13,76,63,65,77,21,78,65
141793,io13,77,65,66,77,21,78,66
141813,io13,78,65,66,77,21,78,66
141833,io13,79,65,66,76,21,77,65
141853,io13,80,64,66,81,20,81,66
141873,io13,81,65,66,79,21,80,65
141893,io13,82,65,66,79,21,80,65
141913,io13,83,65,66,78,21,78,66
141933,io13,84,61,65,82,21,82,64
141953,io13,85,66,66,80,21,81,66
141973,io13,86,66,66,80,21,81,66
141993,io13,87,66,65,77,21,77,66
142013,io13,88,65,65,84,21,84,66
142033,io13,89,65,66,79,21,80,66
142053,io13,90,65,66,79,21,80,66
142073,io13,91,65,66,77,21,78,66
142093,io13,92,65,66,78,21,79,67
142113,io13,93,66,66,81,21,81,66
142133,io13,94,66,66,81,21,81,66
142153,io13,95,65,66,78,21,78,66
142173,io13,96,65,66,78,21,79,66
142193,io13,97,65,65,80,21,81,66
142213,io13,98,65,65,80,21,81,66
142233,io13,99,63,65,79,21,80,65
142253,io13,100,61,64,78,21,78,63
142273,io13,101,65,66,77,21,77,66
142293,io13,102,65,66,77,21,77,66
142313,io13,103,64,66,80,21,82,65
142333,io13,104,64,66,76,21,77,66
142353,io13,105,66,66,79,21,79,66
142373,io13,106,66,66,79,21,79,66
142393,io13,107,65,66,76,21,77,66
142413,io13,108,63,65,82,21,82,65
142433,io13,109,64,65,78,21,79,66
142453,io13,110,64,65,78,21,79,66
142473,io13,111,65,66,82,21,82,66
142493,io13,112,65,67,78,21,79,67
142513,io13,113,63,65,80,21,80,64
142533,io13,114,63,65,80,21,80,64
142553,io13,115,63,65,78,21,79,65
142573,io13,116,66,66,79,21,80,66
142593,io13,117,64,66,78,21,78,65
142613,io13,118,64,66,78,21,78,65
142633,io13,119,63,65,80,21,80,64
142653,io13,120,65,66,76,21,77,67
142673,io13,121,63,65,82,21,82,65
142693,io13,122,63,65,82,21,82,65
142713,io13,123,64,66,78,21,78,65
142733,io13,124,64,66,81,21,81,65
142753,io13,125,64,66,80,21,81,65
142773,io13,126,64,66,80,21,81,65
142793,io13,127,66,65,79,21,80,66
142813,io13,128,65,66,76,21,77,66
142833,io13,129,66,66,79,21,79,66
142853,io13,130,66,66,79,21,79,66
142873,io13,131,65,66,80,21,81,65
142893,io13,132,65,66,78,21,78,67
142913,io13,133,66,66,79,21,80,66
142933,io13,134,66,66,79,21,80,66
142953,io13,135,64,65,79,21,80,66
142973,io13,136,64,64,81,21,82,65
142993,io13,137,66,66,82,21,82,66
143013,io13,138,66,66,82,21,82,66
143033,io13,139,66,65,78,21,79,66
143053,io13,140,65,65,76,21,77,66
143073,io13,141,65,66,80,21,81,66
143093,io13,142,65,66,80,21,81,66
143113,io13,143,64,65,79,21,79,66
143133,io13,144,65,65,79,21,80,66
143153,io13,145,65,65,82,21,82,66
143173,io13,146,65,65,82,21,82,66
143193,io13,147,63,65,81,21,82,64
143213,io13,148,65,66,82,21,83,66
143233,io13,149,65,65,80,21,81,66
143253,io13,150,65,65,80,21,81,66
143273,io13,151,65,66,80,21,80,66
143293,io13,152,62,64,82,21,82,65
143313,io13,153,66,66,79,21,79,66
143333,io13,154,66,66,79,21,79,66
143353,io13,155,62,65,82,21,82,64
143373,io13,156,64,65,78,21,79,65
143393,io13,157,63,65,80,21,80,65
143413,io13,158,63,65,80,21,80,65
143433,io13,159,65,66,81,21,82,66
143453,io13,160,67,66,82,21,83,67
143473,io13,161,65,66,85,21,85,66
143493,io13,162,65,66,85,21,85,66
143513,io13,163,65,65,86,21,86,66
143533,io13,164,66,66,84,21,84,66
143553,io13,165,65,65,86,21,86,66
143573,io13,166,65,65,86,21,86,66
143593,io13,167,64,66,86,21,86,65
143613,io13,168,63,65,82,21,82,64
143633,io13,169,63,65,85,21,85,64
143653,io13,170,63,65,85,21,85,64
143673,io13,171,65,66,83,21,84,65
143693,io13,172,64,65,79,21,80,66
143713,io13,173,65,66,80,21,80,66
143733,io13,174,65,66,80,21,80,66
143753,io13,175,65,65,80,21,81,66
143773,io13,176,65,66,82,21,83,66
143793,io13,177,65,66,76,21,77,65
143813,io13,178,65,66,76,21,77,65
143833,io13,179,64,65,81,21,82,66
143853,io13,180,65,65,79,21,80,66
143873,io13,181,65,66,81,21,82,66
143893,io13,182,65,66,81,21,82,66
143913,io13,183,65,66,84,21,85,66
143933,io13,184,63,65,85,21,85,65
143953,io13,185,65,66,82,21,82,66
143973,io13,186,65,66,82,21,82,66
143993,io13,187,63,65,85,21,85,65
144013,io13,188,63,65,86,21,86,65
144033,io13,189,64,66,82,21,83,65
