timestamp_ms,label,sample_index,gpio2,gpio4,gpio12,gpio13,gpio14,gpio15
342526,neighbors_12_13,0,66,66,4,5,73,66
342546,neighbors_12_13,1,66,66,4,5,73,66
342566,neighbors_12_13,2,66,66,4,5,73,66
342586,neighbors_12_13,3,63,65,29,29,73,64
342606,neighbors_12_13,4,66,66,5,5,73,66
342626,neighbors_12_13,5,63,66,30,30,72,64
342646,neighbors_12_13,6,63,66,30,30,72,64
342666,neighbors_12_13,7,66,66,25,25,72,66
342686,neighbors_12_13,8,66,66,6,6,72,66
342706,neighbors_12_13,9,61,65,32,32,72,63
342726,neighbors_12_13,10,61,65,32,32,72,63
342746,neighbors_12_13,11,61,65,6,6,73,63
342766,neighbors_12_13,12,65,66,23,23,73,66
342786,neighbors_12_13,13,66,65,32,32,72,66
342806,neighbors_12_13,14,66,65,32,32,72,66
342826,neighbors_12_13,15,64,64,32,32,73,64
342846,neighbors_12_13,16,64,66,32,32,73,66
342866,neighbors_12_13,17,65,66,32,32,72,66
342886,neighbors_12_13,18,65,66,32,32,72,66
342906,neighbors_12_13,19,62,64,32,32,72,63
342926,neighbors_12_13,20,65,66,32,32,73,66
342946,neighbors_12_13,21,65,66,32,32,73,66
342966,neighbors_12_13,22,65,66,32,32,73,66
342986,neighbors_12_13,23,64,65,32,32,72,64
343006,neighbors_12_13,24,66,66,6,6,73,66
343026,neighbors_12_13,25,63,65,14,13,73,65
343046,neighbors_12_13,26,63,65,14,13,73,65
343066,neighbors_12_13,27,65,65,6,6,73,66
343086,neighbors_12_13,28,66,66,6,6,73,66
343106,neighbors_12_13,29,62,65,16,16,73,64
343126,neighbors_12_13,30,62,65,16,16,73,64
343146,neighbors_12_13,31,62,64,32,32,73,64
343166,neighbors_12_13,32,64,65,32,32,72,65
343186,neighbors_12_13,33,64,65,32,32,73,65
343206,neighbors_12_13,34,64,65,32,32,73,65
343226,neighbors_12_13,35,64,64,32,32,73,64
343246,neighbors_12_13,36,65,65,32,32,72,65
343266,neighbors_12_13,37,62,65,32,32,72,64
343286,neighbors_12_13,38,62,65,32,32,72,64
343306,neighbors_12_13,39,64,64,32,32,73,64
343326,neighbors_12_13,40,61,65,32,32,72,63
343346,neighbors_12_13,41,62,66,33,33,72,64
343366,neighbors_12_13,42,62,66,33,33,72,64
343386,neighbors_12_13,43,61,64,32,32,73,63
343406,neighbors_12_13,44,62,66,33,33,72,64
343426,neighbors_12_13,45,61,64,33,33,73,64
343446,neighbors_12_13,46,61,64,33,33,73,64
343466,neighbors_12_13,47,63,65,33,33,72,64
343486,neighbors_12_13,48,65,65,33,33,73,65
343506,neighbors_12_13,49,62,65,33,33,73,63
343526,neighbors_12_13,50,62,65,33,33,73,63
343546,neighbors_12_13,51,61,65,24,25,73,63
343566,neighbors_12_13,52,63,65,33,33,73,64
343586,neighbors_12_13,53,62,65,33,33,73,64
343606,neighbors_12_13,54,62,65,33,33,73,64
