timestamp_ms,label,sample_index,gpio2,gpio4,gpio12,gpio13,gpio14,gpio15
440194,3_apart_4_14,0,63,7,72,60,8,66
440214,3_apart_4_14,1,63,7,72,60,8,66
440234,3_apart_4_14,2,63,7,71,60,9,66
440254,3_apart_4_14,3,62,5,73,60,7,65
440274,3_apart_4_14,4,62,6,72,60,8,65
440294,3_apart_4_14,5,62,6,72,60,8,65
440314,3_apart_4_14,6,62,6,72,60,8,65
440334,3_apart_4_14,7,62,6,72,60,8,65
440354,3_apart_4_14,8,62,6,72,60,8,65
440374,3_apart_4_14,9,62,6,72,60,8,65
440394,3_apart_4_14,10,62,5,72,60,6,65
440414,3_apart_4_14,11,62,6,72,60,7,65
440434,3_apart_4_14,12,63,5,72,60,6,65
440454,3_apart_4_14,13,63,5,72,60,6,65
440474,3_apart_4_14,14,61,5,72,60,6,62
440494,3_apart_4_14,15,63,6,72,60,7,66
440514,3_apart_4_14,16,63,6,72,60,8,66
440534,3_apart_4_14,17,63,6,72,60,8,66
440554,3_apart_4_14,18,62,6,72,60,7,64
440574,3_apart_4_14,19,63,7,72,60,9,66
440594,3_apart_4_14,20,62,7,72,60,8,65
440614,3_apart_4_14,21,62,7,72,60,8,65
440634,3_apart_4_14,22,63,7,72,60,8,66
440654,3_apart_4_14,23,62,7,72,60,8,65
440674,3_apart_4_14,24,62,7,72,60,9,65
440694,3_apart_4_14,25,62,7,72,60,9,65
440714,3_apart_4_14,26,62,7,72,60,8,65
440734,3_apart_4_14,27,63,7,72,60,8,66
440754,3_apart_4_14,28,63,7,72,60,8,66
440774,3_apart_4_14,29,63,7,72,60,8,66
440794,3_apart_4_14,30,62,7,72,60,8,65
440814,3_apart_4_14,31,63,5,71,60,6,66
440834,3_apart_4_14,32,63,7,72,60,8,66
440854,3_apart_4_14,33,63,7,72,60,8,66
440874,3_apart_4_14,34,62,7,72,60,9,65
440894,3_apart_4_14,35,63,5,71,60,6,66
440914,3_apart_4_14,36,62,5,72,60,6,65
440934,3_apart_4_14,37,62,5,72,60,6,65
440954,3_apart_4_14,38,63,7,72,60,8,66
440974,3_apart_4_14,39,63,5,72,60,6,66
440994,3_apart_4_14,40,62,6,72,60,7,64
441014,3_apart_4_14,41,62,6,72,60,7,64
441034,3_apart_4_14,42,63,5,72,60,6,66
441054,3_apart_4_14,43,62,5,71,60,6,65
441074,3_apart_4_14,44,62,5,71,60,6,65
441094,3_apart_4_14,45,62,5,71,60,6,65
441114,3_apart_4_14,46,62,7,72,60,8,65
441134,3_apart_4_14,47,62,5,71,60,6,65
441154,3_apart_4_14,48,62,5,72,60,6,65
441174,3_apart_4_14,49,62,5,72,60,6,65
441194,3_apart_4_14,50,62,5,71,60,6,65
441214,3_apart_4_14,51,63,5,71,60,6,66
441234,3_apart_4_14,52,63,5,71,60,6,66
441254,3_apart_4_14,53,63,5,71,60,6,66
441274,3_apart_4_14,54,62,5,71,60,6,65
441294,3_apart_4_14,55,62,6,71,60,7,64
441314,3_apart_4_14,56,63,7,71,60,9,66
441334,3_apart_4_14,57,63,7,71,60,9,66
441354,3_apart_4_14,58,62,6,71,60,8,64
441374,3_apart_4_14,59,62,6,71,60,7,64
441394,3_apart_4_14,60,62,6,72,60,8,65
441414,3_apart_4_14,61,62,6,72,60,8,65
441434,3_apart_4_14,62,62,7,72,60,9,64
441454,3_apart_4_14,63,62,6,72,60,8,66
441474,3_apart_4_14,64,62,7,71,60,9,66
441494,3_apart_4_14,65,62,7,71,60,9,66
441514,3_apart_4_14,66,62,6,72,60,8,66
441534,3_apart_4_14,67,62,7,71,60,9,65
441554,3_apart_4_14,68,62,5,72,60,7,66
441574,3_apart_4_14,69,62,5,72,60,7,66
441594,3_apart_4_14,70,62,6,72,60,8,64
441614,3_apart_4_14,71,62,6,72,60,8,66
441634,3_apart_4_14,72,61,9,72,60,10,63
441654,3_apart_4_14,73,61,9,72,60,10,63
441674,3_apart_4_14,74,61,6,72,60,7,63
441694,3_apart_4_14,75,62,7,72,60,7,65
441714,3_apart_4_14,76,61,6,72,60,7,63
441734,3_apart_4_14,77,61,6,72,60,7,63
441754,3_apart_4_14,78,62,11,72,60,12,65
441774,3_apart_4_14,79,62,10,72,60,11,65
441794,3_apart_4_14,80,62,11,72,60,12,65
441814,3_apart_4_14,81,62,11,72,60,12,65
441834,3_apart_4_14,82,62,5,71,60,6,66
441854,3_apart_4_14,83,61,7,72,60,8,63
441874,3_apart_4_14,84,61,7,72,60,8,63
441894,3_apart_4_14,85,61,7,72,60,8,63
441914,3_apart_4_14,86,61,7,72,60,9,64
441934,3_apart_4_14,87,61,6,72,60,8,64
441954,3_apart_4_14,88,61,5,72,60,6,63
441974,3_apart_4_14,89,61,5,72,60,6,63
441994,3_apart_4_14,90,61,6,72,60,7,64
442014,3_apart_4_14,91,61,7,72,60,9,63
