timestamp_ms,label,sample_index,gpio2,gpio4,gpio12,gpio13,gpio14,gpio15
485716,neighbors_14_12_13,0,61,65,5,5,5,63
485736,neighbors_14_12_13,1,65,65,6,5,6,66
485756,neighbors_14_12_13,2,65,65,6,5,6,66
485776,neighbors_14_12_13,3,65,65,8,6,7,65
485796,neighbors_14_12_13,4,64,65,6,6,6,65
485816,neighbors_14_12_13,5,65,65,6,5,7,66
485836,neighbors_14_12_13,6,65,65,6,5,7,66
485856,neighbors_14_12_13,7,63,65,7,6,6,65
485876,neighbors_14_12_13,8,65,65,7,5,8,65
485896,neighbors_14_12_13,9,61,64,7,6,8,63
485916,neighbors_14_12_13,10,61,64,7,6,8,63
485936,neighbors_14_12_13,11,62,64,6,4,7,64
485956,neighbors_14_12_13,12,66,65,6,4,7,66
485976,neighbors_14_12_13,13,62,65,6,5,7,65
485996,neighbors_14_12_13,14,62,65,6,5,7,65
486016,neighbors_14_12_13,15,65,65,6,5,8,65
486036,neighbors_14_12_13,16,65,65,6,5,8,66
486056,neighbors_14_12_13,17,65,65,6,5,8,66
486076,neighbors_14_12_13,18,67,67,5,5,6,67
486096,neighbors_14_12_13,19,63,65,5,5,6,65
486116,neighbors_14_12_13,20,63,65,5,5,6,64
486136,neighbors_14_12_13,21,63,65,5,5,6,64
486156,neighbors_14_12_13,22,66,65,5,5,6,66
486176,neighbors_14_12_13,23,65,66,5,5,6,66
486196,neighbors_14_12_13,24,65,66,5,5,6,65
486216,neighbors_14_12_13,25,65,66,5,5,6,65
486236,neighbors_14_12_13,26,66,65,5,5,6,66
486256,neighbors_14_12_13,27,66,66,5,5,6,66
486276,neighbors_14_12_13,28,66,65,5,5,6,66
486296,neighbors_14_12_13,29,66,65,5,5,6,66
486316,neighbors_14_12_13,30,66,66,5,5,6,66
486336,neighbors_14_12_13,31,61,64,6,5,7,63
486356,neighbors_14_12_13,32,65,65,28,27,28,65
486376,neighbors_14_12_13,33,65,65,28,27,28,65
486396,neighbors_14_12_13,34,65,65,26,25,26,65
486416,neighbors_14_12_13,35,65,65,28,27,28,65
486436,neighbors_14_12_13,36,66,66,5,5,6,66
486456,neighbors_14_12_13,37,66,66,5,5,6,66
486476,neighbors_14_12_13,38,61,64,5,5,6,64
486496,neighbors_14_12_13,39,63,65,5,4,6,65
486516,neighbors_14_12_13,40,65,65,7,6,8,65
486536,neighbors_14_12_13,41,65,65,7,6,8,65
486556,neighbors_14_12_13,42,62,65,5,4,6,65
486576,neighbors_14_12_13,43,61,64,5,4,6,63
486596,neighbors_14_12_13,44,61,64,5,4,6,64
486616,neighbors_14_12_13,45,61,64,5,4,6,64
486636,neighbors_14_12_13,46,61,64,5,4,6,63
486656,neighbors_14_12_13,47,61,64,5,4,6,64
486676,neighbors_14_12_13,48,61,64,5,5,6,63
486696,neighbors_14_12_13,49,61,64,5,5,6,63
486716,neighbors_14_12_13,50,61,64,5,5,6,64
486736,neighbors_14_12_13,51,61,64,5,5,5,63
486756,neighbors_14_12_13,52,61,64,6,5,6,64
486776,neighbors_14_12_13,53,61,64,6,5,6,64
486796,neighbors_14_12_13,54,62,65,6,5,7,64
486816,neighbors_14_12_13,55,66,65,6,5,6,66
486836,neighbors_14_12_13,56,61,64,5,5,5,64
486856,neighbors_14_12_13,57,61,64,5,5,5,64
486876,neighbors_14_12_13,58,61,64,5,5,5,63
486896,neighbors_14_12_13,59,61,64,5,5,5,63
486916,neighbors_14_12_13,60,61,64,5,5,6,63
486936,neighbors_14_12_13,61,61,64,5,5,6,63
486956,neighbors_14_12_13,62,61,64,6,5,7,63
486976,neighbors_14_12_13,63,61,64,5,4,6,63
486996,neighbors_14_12_13,64,61,64,5,4,6,63
487016,neighbors_14_12_13,65,61,64,5,4,6,63
487036,neighbors_14_12_13,66,61,64,5,4,6,63
487056,neighbors_14_12_13,67,61,64,5,4,6,63
487076,neighbors_14_12_13,68,61,64,5,4,6,63
487096,neighbors_14_12_13,69,61,64,5,4,6,63
487116,neighbors_14_12_13,70,61,64,5,4,6,64
487136,neighbors_14_12_13,71,61,64,5,4,6,64
487156,neighbors_14_12_13,72,63,65,5,4,6,65
487176,neighbors_14_12_13,73,63,65,5,4,6,65
487196,neighbors_14_12_13,74,65,65,16,15,17,65
487216,neighbors_14_12_13,75,64,64,46,46,46,64
