timestamp_ms,label,sample_index,gpio2,gpio4,gpio12,gpio13,gpio14,gpio15
534286,3_spaced_14_13_2,0,4,65,72,4,6,63
534306,3_spaced_14_13_2,1,5,65,72,4,6,63
534326,3_spaced_14_13_2,2,4,64,72,4,6,63
534346,3_spaced_14_13_2,3,4,64,72,4,6,63
534366,3_spaced_14_13_2,4,4,64,72,4,6,63
534386,3_spaced_14_13_2,5,5,64,72,4,7,63
534406,3_spaced_14_13_2,6,5,64,72,4,7,63
534426,3_spaced_14_13_2,7,5,64,72,4,7,63
534446,3_spaced_14_13_2,8,5,64,72,4,6,63
534466,3_spaced_14_13_2,9,5,64,72,4,6,63
534486,3_spaced_14_13_2,10,5,64,72,4,6,63
534506,3_spaced_14_13_2,11,5,64,72,4,6,63
534526,3_spaced_14_13_2,12,5,64,72,4,6,63
534546,3_spaced_14_13_2,13,5,65,72,4,6,63
534566,3_spaced_14_13_2,14,5,64,72,4,6,63
534586,3_spaced_14_13_2,15,5,64,72,4,6,63
534606,3_spaced_14_13_2,16,5,64,72,4,7,63
534626,3_spaced_14_13_2,17,5,64,72,4,7,63
534646,3_spaced_14_13_2,18,5,64,72,4,7,63
534666,3_spaced_14_13_2,19,5,64,72,4,7,63
534686,3_spaced_14_13_2,20,4,64,72,5,8,63
534706,3_spaced_14_13_2,21,4,65,72,5,8,63
534726,3_spaced_14_13_2,22,4,65,72,5,7,63
534746,3_spaced_14_13_2,23,5,65,72,4,7,63
534766,3_spaced_14_13_2,24,5,64,72,4,5,63
534786,3_spaced_14_13_2,25,5,65,72,4,5,63
534806,3_spaced_14_13_2,26,5,65,72,4,5,63
534826,3_spaced_14_13_2,27,5,65,72,4,5,63
534846,3_spaced_14_13_2,28,5,64,72,4,5,63
534866,3_spaced_14_13_2,29,5,64,72,4,5,63
534886,3_spaced_14_13_2,30,5,64,72,4,5,63
534906,3_spaced_14_13_2,31,9,64,72,3,5,63
534926,3_spaced_14_13_2,32,6,64,72,4,5,63
534946,3_spaced_14_13_2,33,10,64,72,9,12,63
534966,3_spaced_14_13_2,34,10,64,72,9,12,63
534986,3_spaced_14_13_2,35,6,64,72,4,5,63
535006,3_spaced_14_13_2,36,6,64,72,4,5,63
535026,3_spaced_14_13_2,37,7,65,72,5,8,63
535046,3_spaced_14_13_2,38,7,65,72,5,8,63
535066,3_spaced_14_13_2,39,6,64,72,4,5,63
535086,3_spaced_14_13_2,40,5,64,72,4,5,63
535106,3_spaced_14_13_2,41,6,64,72,4,5,63
535126,3_spaced_14_13_2,42,6,64,72,4,5,63
535146,3_spaced_14_13_2,43,6,64,72,4,5,63
535166,3_spaced_14_13_2,44,5,64,72,5,6,63
535186,3_spaced_14_13_2,45,6,64,72,6,7,63
535206,3_spaced_14_13_2,46,6,64,72,6,7,63
535226,3_spaced_14_13_2,47,5,64,72,5,6,63
535246,3_spaced_14_13_2,48,5,64,72,6,8,63
535266,3_spaced_14_13_2,49,4,64,72,5,6,63
535286,3_spaced_14_13_2,50,4,64,72,5,6,63
