timestamp_ms,label,sample_index,gpio2,gpio4,gpio12,gpio13,gpio14,gpio15
569603,all_6,0,1,2,3,1,10,2
569623,all_6,1,1,2,3,1,10,2
569643,all_6,2,1,2,3,1,10,2
569663,all_6,3,1,2,3,1,10,2
569683,all_6,4,1,1,2,2,10,2
569703,all_6,5,1,1,2,2,10,2
569723,all_6,6,1,1,2,2,10,2
569743,all_6,7,1,1,3,2,11,2
569763,all_6,8,0,1,3,2,12,2
569783,all_6,9,0,1,3,2,12,2
569803,all_6,10,0,1,3,2,12,2
569823,all_6,11,0,1,3,2,12,2
569843,all_6,12,1,2,2,1,10,2
569863,all_6,13,1,2,2,1,10,2
569883,all_6,14,1,2,3,1,10,2
569903,all_6,15,1,2,3,1,10,2
569923,all_6,16,1,2,3,2,8,3
569943,all_6,17,1,2,3,2,8,3
569963,all_6,18,1,2,3,2,8,3
569983,all_6,19,1,2,3,1,9,2
570003,all_6,20,1,2,3,2,9,2
570023,all_6,21,1,2,3,2,9,2
570043,all_6,22,1,2,3,2,9,2
570063,all_6,23,1,2,3,2,9,2
570083,all_6,24,1,2,3,2,9,2
570103,all_6,25,1,2,3,2,9,2
570123,all_6,26,1,3,2,2,8,2
570143,all_6,27,1,2,3,1,9,2
570163,all_6,28,1,2,3,2,9,2
570183,all_6,29,1,2,3,2,9,2
570203,all_6,30,1,3,3,2,10,2
570223,all_6,31,1,3,3,2,9,2
570243,all_6,32,1,3,3,1,9,2
570263,all_6,33,1,3,3,1,9,2
570283,all_6,34,1,5,3,2,7,3
570303,all_6,35,1,2,3,2,8,2
570323,all_6,36,1,4,4,3,8,2
570343,all_6,37,1,4,4,3,8,2
570363,all_6,38,1,3,4,2,9,2
570383,all_6,39,1,3,4,3,9,2
570403,all_6,40,1,2,3,2,8,2
570423,all_6,41,1,2,3,2,8,2
570443,all_6,42,0,1,5,3,8,1
570463,all_6,43,1,2,3,2,9,2
570483,all_6,44,2,2,3,2,10,2
570503,all_6,45,2,2,3,2,10,2
570523,all_6,46,0,1,4,4,8,1
570543,all_6,47,0,1,2,4,15,1
570563,all_6,48,0,1,3,5,12,1
570583,all_6,49,0,1,3,5,12,1
570603,all_6,50,0,2,3,4,12,1
570623,all_6,51,0,2,3,4,12,1
570643,all_6,52,0,3,3,6,11,2
570663,all_6,53,0,3,3,6,11,2
570683,all_6,54,1,4,3,4,11,2
570703,all_6,55,0,4,2,5,10,1
570723,all_6,56,2,2,2,5,10,2
570743,all_6,57,2,2,2,5,10,2
570763,all_6,58,0,2,3,5,12,1
570783,all_6,59,0,2,3,5,12,1
570803,all_6,60,0,3,3,5,9,1
570823,all_6,61,0,3,3,5,9,1
570843,all_6,62,0,3,3,5,10,2
570863,all_6,63,0,2,3,4,12,1
570883,all_6,64,0,3,3,3,10,1
570903,all_6,65,0,3,3,3,10,1
570923,all_6,66,1,2,3,2,11,3
